nohup: ignoring input
2025-07-17 08:39:08,113		[33;36mINFO[0m	viam.rpc.dial (dial.py:336)	Connecting to socket: /tmp/proxy-EcjVjTCA.sock	
Resources:
[<viam.proto.common.ResourceName rdk:component:board/local at 0x7fb4b44d60>, <viam.proto.common.ResourceName rdk:component:sensor/sensor at 0x7fb4d7e020>, <viam.proto.common.ResourceName rdk:service:motion/builtin at 0x7fb34ac310>]
local gpio_pin_by_name return value: <viam.components.board.client.GPIOPinClient object at 0x7fb42a9810>
sensor get_readings return value: {'moisture': 226.0}
08:39 - waiting before we test for moisture again, current moisture: 228.0, DRY: 600
08:40 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
08:41 - waiting before we test for moisture again, current moisture: 229.0, DRY: 600
08:42 - waiting before we test for moisture again, current moisture: 226.0, DRY: 600
08:43 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
08:44 - waiting before we test for moisture again, current moisture: 229.0, DRY: 600
08:45 - waiting before we test for moisture again, current moisture: 222.0, DRY: 600
08:46 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
08:47 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
08:48 - waiting before we test for moisture again, current moisture: 226.0, DRY: 600
08:49 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
08:50 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
08:51 - waiting before we test for moisture again, current moisture: 228.0, DRY: 600
08:52 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
08:53 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
08:54 - waiting before we test for moisture again, current moisture: 226.0, DRY: 600
08:55 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
08:56 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
08:57 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
08:58 - waiting before we test for moisture again, current moisture: 228.0, DRY: 600
08:59 - waiting before we test for moisture again, current moisture: 223.0, DRY: 600
09:00 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
09:01 - waiting before we test for moisture again, current moisture: 226.0, DRY: 600
09:02 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
09:03 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
09:04 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
09:05 - waiting before we test for moisture again, current moisture: 223.0, DRY: 600
09:06 - waiting before we test for moisture again, current moisture: 222.0, DRY: 600
09:07 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
09:08 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
09:09 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
09:10 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
09:11 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
09:12 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
09:13 - waiting before we test for moisture again, current moisture: 227.0, DRY: 600
09:14 - waiting before we test for moisture again, current moisture: 223.0, DRY: 600
09:15 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
09:16 - waiting before we test for moisture again, current moisture: 226.0, DRY: 600
09:17 - waiting before we test for moisture again, current moisture: 222.0, DRY: 600
09:18 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
09:19 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
09:20 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
09:21 - waiting before we test for moisture again, current moisture: 226.0, DRY: 600
09:22 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
09:23 - waiting before we test for moisture again, current moisture: 227.0, DRY: 600
09:24 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
09:25 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
09:26 - waiting before we test for moisture again, current moisture: 228.0, DRY: 600
09:27 - waiting before we test for moisture again, current moisture: 222.0, DRY: 600
09:28 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
09:29 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
09:30 - waiting before we test for moisture again, current moisture: 226.0, DRY: 600
09:31 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
09:32 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
09:33 - waiting before we test for moisture again, current moisture: 226.0, DRY: 600
09:34 - waiting before we test for moisture again, current moisture: 226.0, DRY: 600
09:35 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
09:36 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
09:37 - waiting before we test for moisture again, current moisture: 223.0, DRY: 600
09:38 - waiting before we test for moisture again, current moisture: 227.0, DRY: 600
09:39 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
09:40 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
09:41 - waiting before we test for moisture again, current moisture: 226.0, DRY: 600
09:42 - waiting before we test for moisture again, current moisture: 225.0, DRY: 600
09:43 - waiting before we test for moisture again, current moisture: 226.0, DRY: 600
09:44 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
09:45 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
09:46 - waiting before we test for moisture again, current moisture: 224.0, DRY: 600
09:47 - waiting before we test for moisture again, current moisture: 223.0, DRY: 600
